unix,time,slot,sps,db,mem,pc,out,inc,cpu
1611848913,0,-9,-9,5410698,321892352,1,84,0,3.64
1611848914,1,-9,-9,5410698,321892352,1,0,13,4.77
1611848915,2,-9,-9,5410698,321892352,2,47,40,3.25
1611848916,3,-9,-9,5410698,381579264,3,106,2501,4.12
1611848917,4,-9,-9,5410698,381579264,2,2074,7691,1.38
1611848919,6,-9,-9,5410698,381579264,3,760,4605,1.74
1611848920,7,3,-9,5410698,381579264,3,1101,2821,8.85
1611848921,8,62,-9,1998050,381579264,3,1313,26050,7.82
1611848922,9,68,-9,2001000,399200256,3,864,1533,6.62
1611848923,10,125,-9,2217085,399200256,4,1639,23328,8.78
1611848924,11,163,-9,2493395,399200256,4,1515,4244,4.15
1611848925,12,186,-9,2679745,399200256,5,1571,17127,10.12
1611848926,13,249,-9,3056207,399200256,6,1696,16821,6.01
1611848927,14,249,-9,3056207,491454464,6,803,2406,10.38
1611848928,15,249,-9,3056207,491454464,6,582,4184,16.90
1611848929,16,312,-9,3440180,491454464,6,1731,10629,11.39
1611848930,17,317,-9,3443130,491454464,7,1392,884,17.46
1611848931,18,375,-9,3807992,491454464,6,1615,20922,14.68
1611848932,19,410,-9,4008975,548855808,6,1425,3378,14.71
1611848933,20,438,-9,4177058,548855808,7,1252,14499,17.41
1611848934,21,501,-9,4540905,548855808,7,1739,9113,10.44
1611848935,22,501,-9,4540905,548855808,7,748,4337,18.31
1611848936,23,564,-9,4899463,548855808,7,1921,22529,10.66
1611848937,24,564,-9,4899463,634822656,7,774,2801,12.27
1611848938,25,578,-9,4929813,634822656,7,1210,3502,14.07
1611848939,26,627,-9,5254680,634822656,7,1413,14590,9.25
1611848940,27,627,-9,5254680,634822656,7,1138,5256,14.00
1611848941,28,676,-9,5458352,634822656,7,1648,6403,12.02
1611848942,29,690,-9,5586726,688996352,8,1009,13070,17.36
1611848943,30,739,-9,4478943,688996352,8,1315,4881,11.67
1611848944,31,753,-9,4517319,688996352,8,823,9482,12.09
1611848945,32,770,-9,4554883,688996352,8,705,1367,16.02
1611848946,33,816,-9,4845893,688996352,9,1401,12536,4.38
1611848947,34,816,-9,4845893,748007424,9,548,1334,3.63
1611848948,35,816,-9,4845893,748007424,9,647,1302,2.88
1611848949,36,816,-9,4845893,748007424,9,495,2908,15.91
1611848950,37,879,-9,5164785,748007424,10,1245,7195,4.63
1611848951,38,879,-9,5164785,748007424,10,603,2217,8.92
1611848952,39,894,-9,5200466,603095040,10,1276,9405,5.87
1611848953,40,894,-9,5200466,603095040,11,894,4468,7.65
1611848954,41,929,-9,5366725,603095040,11,1090,2791,5.76
1611848955,42,957,-9,5514877,603095040,11,830,6541,3.77
1611848956,43,957,-9,5514877,603095040,11,446,1269,13.93
1611848957,44,1020,-9,5834537,469704704,11,1124,11450,4.13
1611848958,45,1020,-9,5834537,469704704,11,743,2470,5.41
1611848959,46,1020,-9,5834537,469704704,11,506,1323,5.62
1611848960,47,1020,-9,5834537,469704704,11,587,4298,8.51
1611848961,48,1057,-9,6020108,469704704,11,742,1471,7.63
1611848962,49,1083,-9,6171890,447868928,11,853,9270,3.63
1611848963,50,1083,-9,6171890,447868928,11,335,3037,9.01
1611848964,51,1146,-9,6504758,447868928,11,961,6996,3.50
1611848965,52,1146,-9,6504758,447868928,11,838,7180,7.62
1611848966,53,1186,-9,6694202,447868928,11,787,1451,7.47
1611848967,54,1209,-9,6846972,468426752,11,806,12109,4.24
1611848968,55,1209,-9,6846972,468426752,11,707,4419,9.91
1611848969,56,1238,-9,7113137,468426752,11,303,1175,13.45
1611848970,57,1264,-9,7722772,468426752,11,963,3542,7.12
1611848971,58,1272,-9,7946663,468426752,11,1412,40992,5.74
1611848972,59,1272,-9,7946663,518991872,11,614,3427,3.76
1611848973,60,1272,-9,7946663,518991872,11,521,1296,3.24
1611848974,61,1272,-9,7946663,518991872,11,626,9797,10.76
1611848975,62,1286,-9,8233434,518991872,11,328,149,13.97
1611848976,63,1314,-9,7027474,518991872,11,437,304,12.50
1611848977,64,1335,-9,7960264,573599744,11,1573,5883,3.88
1611848978,65,1335,-9,7960264,573599744,12,1008,19815,2.75
1611848979,66,1335,-9,7960264,573599744,12,795,16667,9.59
1611848980,67,1347,-9,8142167,573599744,12,286,379,13.47
1611848981,68,1373,-9,9376562,573599744,12,89,69,13.48
1611848982,69,1397,-9,10546744,657080320,12,992,1614,4.75
1611848983,70,1398,-9,10615954,657080320,12,1194,32628,3.88
1611848984,71,1398,-9,10615954,657080320,12,188,1254,10.25
1611848985,72,1410,-9,8128105,657080320,12,298,433,13.08
1611848986,73,1442,-9,9353245,657080320,12,251,1175,10.82
1611848987,74,1461,-9,10501062,730914816,14,1161,9998,4.86
1611848988,75,1461,-9,10501062,730914816,14,558,6639,2.38
1611848989,76,1461,-9,10501062,730914816,14,427,1848,2.63
1611848990,77,1461,-9,10501062,730914816,14,418,1450,2.13
1611848991,78,1461,-9,10501062,730914816,14,413,1269,4.24
1611848992,79,1461,-9,10501062,753373184,14,413,1242,4.89
1611848993,80,1464,-9,10524600,753373184,14,219,1162,19.90
1611848994,81,1486,-9,11634537,753373184,14,233,1162,13.64
1611848995,82,1509,-9,9730693,753373184,14,178,159,8.84
1611848996,83,1524,-9,10071786,753373184,14,833,25245,4.53
1611848997,84,1524,-9,10071786,728047616,14,409,9429,2.88
1611848998,85,1524,-9,10071786,728047616,14,290,1281,2.37
1611848999,86,1524,-9,10071786,728047616,14,384,1242,3.26
1611849000,87,1524,-9,10071786,728047616,14,487,485,1.62
