Jan 28 16:48:27.967 INFO Lighthouse started                      version: Lighthouse/v1.1.0-e4b6213
Jan 28 16:48:27.968 INFO Configured for network                  name: mainnet
Jan 28 16:48:27.968 INFO Data directory initialised              datadir: /srv/chain/lighthouse
Jan 28 16:48:27.971 INFO Deposit contract                        address: 0x00000000219ab540356cbb839cbe05303d7705fa, deploy_block: 11184524
Jan 28 16:48:28.006 INFO Starting from known genesis state       service: beacon
Jan 28 16:48:28.147 INFO Block production enabled                method: json rpc via http, endpoints: ["https://mainnet.infura.io/v3/819412e57b5943a6a12c0a335fe5f87b"]
Jan 28 16:48:29.404 INFO Beacon chain initialized                head_slot: 0, head_block: 0x4d61…9360, head_state: 0x7e76…2c2b, service: beacon
Jan 28 16:48:29.404 INFO Timer service started                   service: node_timer
Jan 28 16:48:29.404 INFO UPnP Attempting to initialise routes    service: UPnP
Jan 28 16:48:29.418 INFO Libp2p Service                          peer_id: 16Uiu2HAmMWSRAnE99TFDY2TYciY1qKXkSoYRsmtjkCaax1JNFbhN, service: libp2p
Jan 28 16:48:29.419 INFO ENR Initialised                         tcp: Some(9000), udp: Some(9000), ip: Some(135.181.181.239), id: 0x8de9..8c52, seq: 2, enr: enr:-LK4QAC8mtwR4LWmcmGfz2Y5brBhrxSy9ZYB5JoTIJL7TiVMTOLh-kQ0HbOrey9xWsP9JIDiG1QRCWUQ9rRgjoiNpugCh2F0dG5ldHOIAAAAAAAAAACEZXRoMpC1MD8qAAAAAP__________gmlkgnY0gmlwhIe1te-Jc2VjcDI1NmsxoQODiG3Rrs7XBXFFago9xKEUFmuparDy4g3CJXecYwyYjYN0Y3CCIyiDdWRwgiMo, service: libp2p
Jan 28 16:48:29.419 INFO Listening established                   address: /ip4/0.0.0.0/tcp/9000/p2p/16Uiu2HAmMWSRAnE99TFDY2TYciY1qKXkSoYRsmtjkCaax1JNFbhN, service: libp2p
Jan 28 16:48:29.429 INFO HTTP API started                        listen_address: 127.0.0.1:5052
Jan 28 16:48:29.429 INFO Metrics HTTP server started             listen_address: 127.0.0.1:5054
Jan 28 16:48:30.211 INFO Sync state updated                      new_state: Syncing Finalized Chain, old_state: Stalled, service: sync
Jan 28 16:48:31.956 INFO Starting database compaction            new_finalized_epoch: 2, old_finalized_epoch: 0, service: beacon
Jan 28 16:48:32.102 INFO Database compaction complete            service: beacon
Jan 28 16:48:33.509 INFO Sync state updated                      new_state: Stalled, old_state: Syncing Finalized Chain, service: sync
Jan 28 16:48:36.105 INFO Sync state updated                      new_state: Syncing Finalized Chain, old_state: Stalled, service: sync
Jan 28 16:48:39.560 INFO UPnP not available                      error: IO error: Resource temporarily unavailable (os error 11), service: UPnP
Jan 28 16:48:41.001 INFO Syncing                                 est_time: --, distance: 417974 slots (8 weeks 2 days), peers: 9, service: slot_notifier
Jan 28 16:48:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:48:53.000 INFO Syncing                                 est_time: 2 hrs 10 mins, speed: 53.42 slots/sec, distance: 417334 slots (8 weeks 1 days), peers: 9, service: slot_notifier
Jan 28 16:48:53.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:49:05.000 INFO Syncing                                 est_time: 1 hr 40 mins, speed: 69.38 slots/sec, distance: 416311 slots (8 weeks 1 days), peers: 16, service: slot_notifier
Jan 28 16:49:05.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:49:17.004 INFO Syncing                                 est_time: 1 hr 22 mins, speed: 83.58 slots/sec, distance: 414968 slots (8 weeks 1 days), peers: 14, service: slot_notifier
Jan 28 16:49:17.004 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:49:29.000 INFO Syncing                                 est_time: 1 hr 16 mins, speed: 90.69 slots/sec, distance: 413625 slots (8 weeks 1 days), peers: 13, service: slot_notifier
Jan 28 16:49:29.000 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:49:41.000 INFO Syncing                                 est_time: 1 hr 5 mins, speed: 105.34 slots/sec, distance: 412282 slots (8 weeks 1 days), peers: 19, service: slot_notifier
Jan 28 16:49:41.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:49:49.279 INFO Imported deposit log(s)                 new: 3242, total: 3242, latest_block: 11284441, service: eth1_rpc
Jan 28 16:49:53.001 INFO Syncing                                 est_time: 1 hr 3 mins, speed: 108.00 slots/sec, distance: 411131 slots (8 weeks 1 days), peers: 16, service: slot_notifier
Jan 28 16:49:53.001 WARN Syncing eth1 block cache                est_blocks_remaining: initializing deposits, msg: sync can take longer when using remote eth1 nodes, service: slot_notifier
Jan 28 16:50:05.000 INFO Syncing                                 est_time: 1 hr 4 mins, speed: 106.68 slots/sec, distance: 409852 slots (8 weeks 0 days), peers: 22, service: slot_notifier
